Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2000,SH_ALC_CONSPT,LITRES,Y_GE15,_T,6.37127
2005,SH_ALC_CONSPT,LITRES,Y_GE15,_T,7.2005
2010,SH_ALC_CONSPT,LITRES,Y_GE15,_T,7.32246
2015,SH_ALC_CONSPT,LITRES,Y_GE15,_T,6.920780000000001
2018,SH_ALC_CONSPT,LITRES,Y_GE15,_T,7.147419999999999
2000,SH_ALC_CONSPT,LITRES,Y_GE15,F,2.41906
2005,SH_ALC_CONSPT,LITRES,Y_GE15,F,2.75297
2010,SH_ALC_CONSPT,LITRES,Y_GE15,F,2.80508
2015,SH_ALC_CONSPT,LITRES,Y_GE15,F,2.61694
2018,SH_ALC_CONSPT,LITRES,Y_GE15,F,2.70457
2000,SH_ALC_CONSPT,LITRES,Y_GE15,M,10.564689999999999
2005,SH_ALC_CONSPT,LITRES,Y_GE15,M,11.90028
2010,SH_ALC_CONSPT,LITRES,Y_GE15,M,12.089139999999999
2015,SH_ALC_CONSPT,LITRES,Y_GE15,M,11.45989
2018,SH_ALC_CONSPT,LITRES,Y_GE15,M,11.82842
