Year,SERIES,UNIT_MEASURE,Value
2000,DC_TOF_AGRL,Američki dolar,101.23285
2001,DC_TOF_AGRL,Američki dolar,84.27593
2002,DC_TOF_AGRL,Američki dolar,9.611410000000001
2003,DC_TOF_AGRL,Američki dolar,12.457189999999999
2004,DC_TOF_AGRL,Američki dolar,38.93128
2005,DC_TOF_AGRL,Američki dolar,11.65837
2006,DC_TOF_AGRL,Američki dolar,11.78383
2007,DC_TOF_AGRL,Američki dolar,11.905999999999999
2008,DC_TOF_AGRL,Američki dolar,12.98218
2009,DC_TOF_AGRL,Američki dolar,19.31165
2010,DC_TOF_AGRL,Američki dolar,15.04609
2011,DC_TOF_AGRL,Američki dolar,17.418429999999997
2012,DC_TOF_AGRL,Američki dolar,19.4012
2013,DC_TOF_AGRL,Američki dolar,20.96925
2014,DC_TOF_AGRL,Američki dolar,17.95875
2015,DC_TOF_AGRL,Američki dolar,10.892560000000001
2016,DC_TOF_AGRL,Američki dolar,7.733410000000001
2017,DC_TOF_AGRL,Američki dolar,9.5384
2018,DC_TOF_AGRL,Američki dolar,14.23957
