Year,type of revenue,Value
2019 - 2020 Јануар,Порез на додану вриједност,102.68
2019 - 2020 Фебруар,Порез на додану вриједност,108.04
2019 - 2020 Март,Порез на додану вриједност,99.23
2019 - 2020 Април,Порез на додану вриједност,76.73
2019 - 2020 Мај,Порез на додану вриједност,69.59
2019 - 2020 Јуни,Порез на додану вриједност,93.0
2019 - 2020 Јули,Порез на додану вриједност,98.56
2019 - 2020 Август,Порез на додану вриједност,84.9
2019 - 2020 Септембар,Порез на додану вриједност,
2019 - 2020 Октобар,Порез на додану вриједност,
2019 - 2020 Новембар,Порез на додану вриједност,
2019 - 2020 Децембар,Порез на додану вриједност,
2019 - 2020 Јануар,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",102.24
2019 - 2020 Фебруар,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",109.0
2019 - 2020 Март,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",90.08
2019 - 2020 Април,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",56.7
2019 - 2020 Мај,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",63.74
2019 - 2020 Јуни,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",89.74
2019 - 2020 Јули,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",92.66
2019 - 2020 Август,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",82.75
2019 - 2020 Септембар,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",
2019 - 2020 Октобар,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",
2019 - 2020 Новембар,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",
2019 - 2020 Децембар,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",
