Year,Series,Старост,Пол,Value
2015,prevalence of moderate or severe food insecurity in the adult population,15+,Женски,9.61
2015,prevalence of moderate or severe food insecurity in the adult population,15+,Мушко,9.19
2015,prevalence of moderate or severe food insecurity in the adult population,All,Bothsex,9.59
2016,prevalence of moderate or severe food insecurity in the adult population,15+,Женски,9.07
2016,prevalence of moderate or severe food insecurity in the adult population,15+,Мушко,10.96
2016,prevalence of moderate or severe food insecurity in the adult population,All,Bothsex,10.27
2017,prevalence of moderate or severe food insecurity in the adult population,15+,Женски,7.79
2017,prevalence of moderate or severe food insecurity in the adult population,15+,Мушко,9.2
2017,prevalence of moderate or severe food insecurity in the adult population,All,Bothsex,8.68
2018,prevalence of moderate or severe food insecurity in the adult population,15+,Женски,8.17
2018,prevalence of moderate or severe food insecurity in the adult population,15+,Мушко,9.62
2018,prevalence of moderate or severe food insecurity in the adult population,All,Bothsex,9.19
2015,prevalence of severe food insecurity in the adult population,15+,Женски,3.2
2015,prevalence of severe food insecurity in the adult population,15+,Мушко,3.1
2015,prevalence of severe food insecurity in the adult population,All,Bothsex,2.7
2016,prevalence of severe food insecurity in the adult population,15+,Женски,3.2
2016,prevalence of severe food insecurity in the adult population,15+,Мушко,3.1
2016,prevalence of severe food insecurity in the adult population,All,Bothsex,2.7
2017,prevalence of severe food insecurity in the adult population,15+,Женски,3.2
2017,prevalence of severe food insecurity in the adult population,15+,Мушко,3.1
2017,prevalence of severe food insecurity in the adult population,All,Bothsex,2.7
2018,prevalence of severe food insecurity in the adult population,15+,Женски,3.2
2018,prevalence of severe food insecurity in the adult population,15+,Мушко,3.1
2018,prevalence of severe food insecurity in the adult population,All,Bothsex,2.7
