Year,Series,Units,Value
2000,EG_EGY_CLEAN,% (PERCENT),52
2001,EG_EGY_CLEAN,% (PERCENT),51
2002,EG_EGY_CLEAN,% (PERCENT),51
2003,EG_EGY_CLEAN,% (PERCENT),50
2004,EG_EGY_CLEAN,% (PERCENT),50
2005,EG_EGY_CLEAN,% (PERCENT),49
2006,EG_EGY_CLEAN,% (PERCENT),48
2007,EG_EGY_CLEAN,% (PERCENT),47
2008,EG_EGY_CLEAN,% (PERCENT),46
2009,EG_EGY_CLEAN,% (PERCENT),45
2010,EG_EGY_CLEAN,% (PERCENT),44
2011,EG_EGY_CLEAN,% (PERCENT),44
2012,EG_EGY_CLEAN,% (PERCENT),44
2013,EG_EGY_CLEAN,% (PERCENT),43
2014,EG_EGY_CLEAN,% (PERCENT),43
2015,EG_EGY_CLEAN,% (PERCENT),45
2016,EG_EGY_CLEAN,% (PERCENT),44
2017,EG_EGY_CLEAN,% (PERCENT),44
2018,EG_EGY_CLEAN,% (PERCENT),45
